label_true,binary_true,decision,binary_prediction,binary_probability,attack_type,correct
DDoS,1,ATTACK,1,0.9984843704139486,DDoS,True
DDoS,1,ATTACK,1,0.9999018496827596,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.9027245253076588,DDoS,True
DDoS,1,ATTACK,1,0.9976724528980122,DDoS,True
DDoS,1,ATTACK,1,0.896495106798787,DDoS,True
DDoS,1,ATTACK,1,0.9978259994651004,DDoS,True
DDoS,1,ATTACK,1,0.9027245253076588,DDoS,True
DDoS,1,ATTACK,1,0.9975862887620384,DDoS,True
DDoS,1,ATTACK,1,0.8837451067987872,DDoS,True
DDoS,1,ATTACK,1,0.9978267888382156,DDoS,True
DDoS,1,ATTACK,1,0.8681304459048934,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.8862451067987871,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.8862451067987871,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DDoS,True
DDoS,1,ATTACK,1,0.9854230628767108,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DoS Hulk,True
DDoS,1,ATTACK,1,0.9974320702361694,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DoS Hulk,True
DDoS,1,ATTACK,1,0.9854230628767108,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DoS Hulk,True
DDoS,1,ATTACK,1,0.9854230628767108,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DoS Hulk,True
DDoS,1,ATTACK,1,0.9854230628767108,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DoS Hulk,True
DDoS,1,ATTACK,1,0.9854230628767108,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DoS Hulk,True
DDoS,1,ATTACK,1,0.9854230628767108,DDoS,True
DDoS,1,ATTACK,1,0.9978267888382156,DDoS,True
DDoS,1,ATTACK,1,0.9854215018401824,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.9854100373245192,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.9854100373245192,DDoS,True
DDoS,1,ATTACK,1,0.9948583680561308,DDoS,True
DDoS,1,ATTACK,1,0.9854100373245192,DDoS,True
DDoS,1,ATTACK,1,0.997721003780054,DDoS,True
DDoS,1,ATTACK,1,0.9854100373245192,DDoS,True
DDoS,1,ATTACK,1,0.9973694396645798,DDoS,True
DDoS,1,ATTACK,1,0.9854100373245192,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DDoS,True
DDoS,1,ATTACK,1,0.9854100373245192,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DoS Hulk,True
DDoS,1,ATTACK,1,0.9854100373245192,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DoS Hulk,True
DDoS,1,ATTACK,1,0.9854100373245192,DDoS,True
DDoS,1,ATTACK,1,0.9978267888382156,DDoS,True
DDoS,1,ATTACK,1,0.9999211920914656,DDoS,True
DDoS,1,ATTACK,1,0.9978267888382156,DDoS,True
DDoS,1,ATTACK,1,0.9879079969840736,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.9832330717623609,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.9998608618889736,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.9998963215806675,DDoS,True
DDoS,1,ATTACK,1,0.9978259994651004,DDoS,True
DDoS,1,ATTACK,1,0.9998608618889732,DDoS,True
DDoS,1,ATTACK,1,0.997735454647106,DDoS,True
DDoS,1,ATTACK,1,0.9998608618889732,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DDoS,True
DDoS,1,ATTACK,1,0.9998608618889736,DDoS,True
DDoS,1,ATTACK,1,0.9978267888382156,DDoS,True
DDoS,1,ATTACK,1,0.999888102622424,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.999786301497798,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.999786301497798,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DDoS,True
DDoS,1,ATTACK,1,0.9999211920914656,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DoS Hulk,True
DDoS,1,ATTACK,1,0.9999211920914656,DDoS,True
DDoS,1,ATTACK,1,0.992225249678659,DDoS,True
DDoS,1,ATTACK,1,0.9999211920914656,DDoS,True
DDoS,1,ATTACK,1,0.9973870452983826,DDoS,True
DDoS,1,ATTACK,1,0.9999211920914656,DDoS,True
DDoS,1,ATTACK,1,0.992225249678659,DDoS,True
DDoS,1,ATTACK,1,0.9999211920914656,DDoS,True
DDoS,1,ATTACK,1,0.992225249678659,DDoS,True
DDoS,1,ATTACK,1,0.9879079969840738,DDoS,True
DDoS,1,ATTACK,1,0.9879079969840736,DDoS,True
DDoS,1,ATTACK,1,0.9975486910472062,DDoS,True
DDoS,1,ATTACK,1,0.9999211920914656,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.9878999416332692,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.9999178986454232,DDoS,True
DDoS,1,ATTACK,1,0.997824695620242,DDoS,True
DDoS,1,ATTACK,1,0.9878955518176415,DDoS,True
DDoS,1,ATTACK,1,0.9925862887620382,DDoS,True
DDoS,1,ATTACK,1,0.9999178986454232,DDoS,True
DDoS,1,ATTACK,1,0.9925862887620382,DDoS,True
DDoS,1,ATTACK,1,0.9878955518176418,DDoS,True
DDoS,1,ATTACK,1,0.9925862887620382,DDoS,True
DDoS,1,ATTACK,1,0.9999178986454232,DDoS,True
DDoS,1,ATTACK,1,0.9925862887620382,DDoS,True
DDoS,1,ATTACK,1,0.9878955518176415,DDoS,True
DDoS,1,ATTACK,1,0.9925862887620382,DDoS,True
DDoS,1,ATTACK,1,0.9878955518176415,DDoS,True
DDoS,1,ATTACK,1,0.9978139448173642,DDoS,True
DDoS,1,ATTACK,1,0.9999178986454232,DDoS,True
DDoS,1,ATTACK,1,0.9978259994651004,DDoS,True
DDoS,1,ATTACK,1,0.9878955518176418,DDoS,True
DDoS,1,ATTACK,1,0.9978136412214248,DDoS,True
DDoS,1,ATTACK,1,0.983233071762361,DDoS,True
DDoS,1,ATTACK,1,0.9948583680561308,DDoS,True
DDoS,1,ATTACK,1,0.983233071762361,DDoS,True
DDoS,1,ATTACK,1,0.9978136412214248,DDoS,True
DDoS,1,ATTACK,1,0.9832330717623609,DDoS,True
